time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2019-04-16,1206851102.885714,267664210.5585713,192950344.00142857,29310236.656428583,59439239.528571464,146968315.9364286,1399634323.2271445
2019-04-17,1057560005.8264283,214047534.74928555,156709675.5785714,24898707.942857154,50540343.22071432,122484348.10500002,1275392315.3842874
2019-04-18,1008639207.0971426,205131529.117857,148629426.36357144,23418983.105714295,48828593.81357147,115196928.72928573,1204465286.4821446
2019-04-19,988270741.677857,197206818.29999986,143386854.445,23058226.385000013,46138771.53500004,110517699.4764286,1172369249.473573
2019-04-20,957048750.8521427,183442736.09071413,134640921.4357143,22232404.82500001,43050099.81357147,104626512.10357144,1140086613.9128587
2019-04-21,938511014.9042857,177800009.43999982,128528117.82071428,21192573.820714295,41190446.19357147,100830035.05142859,1101712407.9221444
2019-04-22,899302590.6042856,167152317.17642838,121863065.87142858,19827360.336428583,38713624.04142862,94340150.3571429,1060421063.50643
2019-04-23,898517198.607857,169522002.24714264,126761431.33500001,20147695.93500001,38998190.30285718,96089534.26785716,1083672753.2300017
2019-04-24,901148349.8814285,164800357.8749998,125350829.79214287,19622260.790000014,40866752.78214289,96105081.875,1103676814.9892874
2019-04-25,879395813.2235712,159365436.19142836,122887321.025,19923852.50642858,38806866.811428614,95550006.21142857,1092937158.4350016
2019-04-26,887363219.1857141,165241290.90571406,124128783.42714287,20673851.526428584,39442192.58142861,97829710.12428571,1133601565.1921446
2019-04-27,880432289.1421429,163402512.90285692,123831191.44357145,21013303.866428584,39164104.58785719,98573859.68714285,1131246815.690716
2019-04-28,872139206.3935715,163312851.08214265,124148389.38857146,21141025.259285726,39076980.579285756,98858302.36714284,1131178325.54643
2019-04-29,847751937.7814286,157262276.0099998,118485916.3364286,20789958.301428583,38206724.80571433,96364819.72642855,1120625579.1728587
2019-04-30,849020140.3007144,157072362.51928553,118371917.47214289,20093079.375714295,38007511.7521429,96312169.61714284,1124337726.5514302
2019-05-01,838181870.9785715,154185091.16928557,118287173.34000002,19988497.770000007,37668790.74857147,95412170.32071427,1121126638.3221445
2019-05-02,822200479.5042857,150411022.43999985,115430268.10071431,19794490.017142866,35427843.15000004,93852469.63714285,1123728961.2628589
2019-05-03,827184092.9292856,158638734.82785702,124220233.7171429,21519699.71714286,35661985.86142861,101632920.07499997,1210988170.7028587
2019-05-04,837951073.5592855,161717077.59142846,129711874.83785716,22668988.17428572,35668346.61428576,107221376.29214284,1280886317.5078588
2019-05-05,815322504.9471426,156595150.97571418,128442224.03214288,22911768.509285722,34320315.061428614,107089370.2185714,1312272762.3142872
2019-05-06,811257272.8878568,153225807.91571417,128403320.50785716,22962945.933571436,33855298.41642861,108889897.42928566,1339186190.89143
2019-05-07,803799605.6514283,147848312.07571417,128292891.53928573,23786870.03142858,32259669.885000043,110115233.1121428,1348423078.9478586
2019-05-08,759841008.0957142,136028492.19857132,124058356.20714286,23538610.48785715,29241431.0671429,104773098.21999992,1329026220.7678585
2019-05-09,736582936.8949999,126549399.99142848,124055241.6257143,23163156.594285723,29033330.706428614,101735694.56071422,1344212347.3300014
2019-05-10,730152189.037857,121742093.32642849,130884638.4557143,23891439.16142858,29760757.539285757,104692086.15142849,1382584360.6328585
2019-05-11,838261897.8885714,157836393.85999992,172475408.31428573,29988339.36285715,36107977.932857186,132621999.5864285,1564344228.4107156
2019-05-12,920260782.4807141,179667488.4864285,205225601.35999998,37207101.36214287,40062158.8771429,153980224.1107142,1715314007.2992873
2019-05-13,1015002370.6399997,209696888.94785708,247170338.90785715,45279450.473571435,45649105.28142861,180487183.90357134,1869106808.6764302
2019-05-14,1131589364.6957142,241454798.07642847,288748702.1421429,53050748.23142858,52979568.6321429,210668704.54642847,2012226126.7050016
2019-05-15,1213774163.8914282,267809637.6185713,327234750.7357143,58174204.34642857,60940026.152142905,237798529.6885713,2131272932.1142871
2019-05-16,1388182025.3892853,301396403.89428556,379055731.7364286,62726658.805,69044203.88000004,272279273.48214275,2219472280.5828586
2019-05-17,1519185096.061428,323104095.60857123,417010531.23928577,67013261.802857146,74204291.69000004,298212382.7849999,2245955916.954287
2019-05-18,1553227270.2021425,323806068.3792855,419713370.2842857,67379633.79642858,75208098.33000006,298901755.63999987,2229140761.0021443
2019-05-19,1679163650.5371423,346641536.6607141,447140027.25357145,73098377.14285715,79229997.55642863,320525243.5992856,2303653765.73143
2019-05-20,1786826090.620714,356616852.3307141,463510364.94642866,76700423.27214286,81536637.88500006,331244182.80785704,2351872528.800716
2019-05-21,1924974362.3642852,360089243.0585712,469471044.7050001,76998887.47714286,84999917.8778572,334296725.5092856,2358435908.61643
2019-05-22,2040628176.512857,371383965.96714264,482395038.3142859,78560821.54428573,87300848.11857148,344068055.47428566,2382665794.7228584
2019-05-23,2144324970.8335712,376405012.83714265,487551951.0428573,79601115.63785717,87450341.14857146,348437820.10999995,2402395810.24643
2019-05-24,2217940657.0692854,380918458.2728569,492893610.16571444,79746558.6107143,87338869.2064286,348450398.2971428,2366050113.934287
2019-05-25,2171312606.7492857,348987311.6607141,456453875.79928595,74699586.5257143,81994936.2814286,323728271.74999994,2222969490.4507155
2019-05-26,2195481426.595,351506508.84285694,445196239.72357166,71371630.41285715,81798820.55357146,318695119.97285706,2145495755.7278588
2019-05-27,2212650504.5914283,341755302.0021427,426167251.8750002,66688880.11142858,79145221.48000003,303581692.99928564,2078401216.9421444
2019-05-28,2176449582.425,321878248.60642844,395912963.7457145,60638559.64428573,73882503.9314286,280355671.4928571,1979184695.368573
2019-05-29,2185194696.373572,314902311.8185712,372388805.9557145,57709380.27857145,69636537.39357145,262603091.57857138,1929050178.655716
2019-05-30,2177491110.516429,320862336.0678569,359461061.91500014,58387299.36000002,68270487.73714288,254693121.1242857,1914118678.2235732
2019-05-31,2111857694.326429,305351166.2899998,329029280.45714295,55427598.792142875,65478724.64285716,233253316.56428573,1871757768.493573
2019-06-01,2138066348.4628575,310737371.9128569,328600618.7385715,55056873.14714287,67375730.51000002,231328415.27,1843618630.398573
2019-06-02,2073120666.5407145,294955533.4085712,306086700.47714293,50931888.76928572,67950065.74571429,214167977.72142857,1765990997.289287
2019-06-03,2041450279.2700002,305347288.23285687,302950249.02642864,49623117.97071429,69700336.42214288,212380517.63500002,1742645436.3635728
2019-06-04,1986292275.0864284,315457459.1692855,312699809.71642864,52563193.81000001,68944313.70357144,221571104.14928576,1767543448.2678585
2019-06-05,1965986581.2385714,311030912.94642836,307951192.3464286,53672095.27928572,70509683.31214286,218349723.5678572,1780262129.0814302
2019-06-06,1929612338.8942857,310673556.44142836,307558331.33571434,53395304.77214287,71210730.83928572,217532662.19428578,1771499168.8271444
2019-06-07,1890911742.8835714,310911951.6299998,303528737.83928573,53046997.39857144,72431348.59428573,217032097.1921429,1771873722.5635726
2019-06-08,1870803883.4564285,309092800.2492855,303449772.2128571,52846366.31785715,73664294.93928573,216686523.28285718,1773692534.864287
2019-06-09,1814883936.8171427,288829731.40142834,289620532.4407143,50627007.11214287,71512082.32714286,205203683.00785717,1750446084.9578583
2019-06-10,1770748983.2685714,274329464.97785693,278471982.76285714,49728205.375714295,70224559.59500001,200091635.50857148,1719086641.355001
2019-06-11,1729963567.4671426,265482197.6092855,275303170.9242857,49315710.302142866,69934498.89357145,197229186.25785717,1706949338.9078581
2019-06-12,1721543927.9778569,259488708.67499974,278029698.6971428,49171366.82285715,68930992.33000001,198700264.1921429,1700966252.5871437
2019-06-13,1628052429.3899996,227662374.43499973,250059666.59428567,45185741.140714295,64088679.63642859,177748913.51357147,1663317118.4685724
2019-06-14,1632511348.524285,225027746.72357115,246303482.52357134,44410599.170714304,63553805.27714287,174174323.3028572,1669725742.8907151
2019-06-15,1609059590.5657136,223953022.80571404,248170699.86857134,45252082.00428574,62078374.583571434,175886076.45500007,1702029299.3150008
2019-06-16,1639616456.7535708,239802117.95928547,264812804.25285706,49588925.57071431,61603678.642142855,188085980.67285722,1792990851.7364295
2019-06-17,1634640057.4849994,230325777.0228569,267677965.19499993,50818348.45428574,60051954.56214286,186878375.75357148,1822586955.7821438
2019-06-18,1609682268.003571,224628200.73499975,260924957.0828571,48296062.86857145,58968265.351428576,178206732.6914286,1819317790.4728582
2019-06-19,1572394314.4428566,222022136.69428548,258774036.15071422,46013686.65857146,55973565.87214286,174101392.37428576,1794522173.6257153
2019-06-20,1561027725.326428,224685060.1399998,258129771.27357134,46327156.02714288,55830064.01,174448818.87285718,1812784811.8671439
2019-06-21,1596484578.7214282,241078176.92499977,275692919.2092856,49108359.69571431,55919134.050000004,183586115.92642862,1871007523.182144
2019-06-22,1747881537.158571,294059548.50571406,326394442.4464285,59185591.73214288,61011879.04357143,209019557.67500004,2009058276.3964295
2019-06-23,1798467232.4749997,312827574.69714266,340531242.24999994,62542895.67714288,61968709.59357143,215602011.1121429,2070120483.2085726
2019-06-24,1785972578.9628568,320436142.9392856,344024954.61071426,64010260.48785717,61904861.30714286,216991465.7707143,2099925421.55143
2019-06-25,1861362933.1528568,341506911.5242856,366522370.0914286,70660743.06142859,64273218.17428572,233106438.98928574,2192488291.635716
2019-06-26,2055270042.6092854,422738658.127857,462693804.5707143,89315663.12857147,75097485.08642858,286920284.29214287,2378044766.395716
2019-06-27,2214834112.7949996,479498640.94071406,544793030.5535715,106820723.8364286,81553216.33785716,331785335.33928573,2520458026.775716
2019-06-28,2262201318.4792857,506415022.03285694,582633487.8521429,117787870.67000003,83090882.70928572,348977770.01785713,2603881431.76643
2019-06-29,2358101584.7992854,521325606.4549998,610107664.9514287,124509381.5464286,84094335.37428571,361927101.3000001,2669999318.4471445
2019-06-30,2396857088.272857,519889620.0407141,620299872.1685715,125402331.78642862,82694846.64,362207194.0392858,2650550276.7878585
2019-07-01,2439786576.8557143,531696629.86357117,641650028.0307143,131282766.90357147,83411782.01857142,373172117.0764286,2668532774.0057154
2019-07-02,2512394643.721429,548040644.6164283,673849016.1878573,140055192.5721429,85016590.88428572,389383250.57785714,2717509569.845001
2019-07-03,2581575862.8342857,570342608.0992855,703328729.0992858,150880147.00857145,87309988.60357143,408844494.7357143,2820383406.8107157
2019-07-04,2609886910.5421433,582340319.7785712,716286631.052143,155201939.5128572,88167920.39214286,412335918.8235715,2848904279.3471446
2019-07-05,2583546032.0285716,568565416.6664283,705683237.3735715,156669209.53714293,87884245.4007143,406104749.855,2837957047.4407163
2019-07-06,2444569162.2021427,524825937.8599998,664032221.2642859,150257664.23214293,82346047.385,384288671.51857144,2751640370.917145
2019-07-07,2389968907.9242854,508018671.3964284,654375689.0628574,148717975.2935715,80711718.09142856,378912618.4278571,2714019188.1507163
2019-07-08,2403134301.4207144,511203432.7542855,661572981.1014287,150795942.38142863,81344592.26857142,383585895.22428566,2718327306.488574
2019-07-09,2375843775.2221427,505254964.4299998,662238042.9764287,151342095.61142862,80705418.60928571,379186426.5421428,2716334527.2400026
